A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013-01-07 07:00,2013,1,7,7,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 08:00,2013,1,7,8,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 09:00,2013,1,7,9,123,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 10:00,2013,1,7,10,-999,µg/m³,1 Hr,Missing
Shanghai,PM2.5,2013-01-07 11:00,2013,1,7,11,-999,µg/m³,1 Hr,Missing
Shanghai,PM2.5,2013-01-07 12:00,2013,1,7,12,-999,µg/m³,1 Hr,Missing
Shanghai,PM2.5,2013-01-07 13:00,2013,1,7,13,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 14:00,2013,1,7,14,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 15:00,2013,1,7,15,164,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 16:00,2013,1,7,16,154,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 17:00,2013,1,7,17,139,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 18:00,2013,1,7,18,143,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 19:00,2013,1,7,19,156,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 20:00,2013,1,7,20,177,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 21:00,2013,1,7,21,169,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 22:00,2013,1,7,22,198,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-07 23:00,2013,1,7,23,244,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 00:00,2013,1,8,0,251,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 01:00,2013,1,8,1,226,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 02:00,2013,1,8,2,165,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 03:00,2013,1,8,3,150,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 04:00,2013,1,8,4,166,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 05:00,2013,1,8,5,171,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 06:00,2013,1,8,6,182,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 07:00,2013,1,8,7,181,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 08:00,2013,1,8,8,173,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 09:00,2013,1,8,9,145,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 10:00,2013,1,8,10,107,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 11:00,2013,1,8,11,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 12:00,2013,1,8,12,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 13:00,2013,1,8,13,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 14:00,2013,1,8,14,101,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 15:00,2013,1,8,15,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 16:00,2013,1,8,16,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 17:00,2013,1,8,17,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 18:00,2013,1,8,18,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 19:00,2013,1,8,19,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 20:00,2013,1,8,20,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 21:00,2013,1,8,21,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 22:00,2013,1,8,22,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-08 23:00,2013,1,8,23,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 00:00,2013,1,9,0,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 01:00,2013,1,9,1,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 02:00,2013,1,9,2,86,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 03:00,2013,1,9,3,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 04:00,2013,1,9,4,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 05:00,2013,1,9,5,83,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 06:00,2013,1,9,6,61,µg/m³,1 Hr,Valid
